@relation 'TDR.weka-weka.filters.unsupervised.attribute.Remove-R1-2,4,7-16,21-25,27-28'

@attribute pts.RS numeric
@attribute pt.diff.RS numeric
@attribute fgm.RS numeric
@attribute ft.per.RS numeric
@attribute or.RS numeric
@attribute dr.RS numeric
@attribute tr.RS numeric
@attribute wperc.RS numeric
@attribute seed.num.TS numeric
@attribute champ.TS {L,W}

@data
70.724138,12.034483,25.034483,0.731806,10.310345,22.551724,32.862069,0.758621,5,L
78.233333,12.266667,26.8,0.734605,13.933333,25.5,39.433333,0.833333,3,L
60.178571,9.75,20.285714,0.688276,6.142857,15.357143,21.5,0.785714,11,L
72.206897,4.758621,24.896552,0.702765,11.310345,24,35.310345,0.586207,8,L
61.433333,0.833333,20.566667,0.660912,11.7,22.766667,34.466667,0.533333,16,L
87.517241,9.103448,31.517241,0.78529,13.896552,25.689655,39.586207,0.689655,9,L
68.75,5,24.25,0.671685,12.8125,23.71875,36.53125,0.71875,6,L
72.185185,6.814815,25.185185,0.730537,9.962963,23.444444,33.407407,0.703704,12,L
79.344828,7.896552,27.137931,0.635934,14.758621,26.172414,40.931034,0.724138,9,L
76.9,14,27.033333,0.668837,13.133333,24.133333,37.266667,0.8,4,L
79.090909,15.151515,30.121212,0.624387,15.30303,29.484848,44.787879,0.818182,2,W
67.96875,3.875,23.53125,0.662856,12.21875,25.78125,38,0.75,10,L
70.866667,3.2,25.633333,0.70044,12.066667,23.766667,35.833333,0.7,7,L
79.75,14.78125,27.5625,0.724375,13.40625,22.84375,36.25,0.84375,1,L
70.25,1.892857,24.75,0.681145,9.142857,21.178571,30.321429,0.571429,15,L
77.931034,7.689655,28.344828,0.664122,12.206897,25.517241,37.724138,0.827586,13,L
76.966667,7.833333,26.933333,0.745138,10.233333,24.933333,35.166667,0.666667,5,L
72.1,-1.866667,23.066667,0.716863,11.433333,22.533333,33.966667,0.466667,16,L
78.0625,10.78125,27.4375,0.681974,11.375,26.09375,37.46875,0.71875,3,L
82.344828,16.413793,29.034483,0.755841,11.551724,27.931034,39.482759,0.931034,2,L
70,7.483871,25.483871,0.628482,13.290323,22.16129,35.451613,0.774194,13,L
72.533333,9.733333,26.633333,0.677526,12.033333,22.933333,34.966667,0.8,5,L
74.857143,6.678571,26.928571,0.701057,12.071429,26.5,38.571429,0.714286,4,L
73.133333,10.333333,26.666667,0.698484,11.8,24.033333,35.833333,0.866667,1,L
65.857143,2.178571,22.75,0.736454,11.178571,24.428571,35.607143,0.642857,16,L
68.741935,1.741935,24.709677,0.687817,13.225806,24.16129,37.387097,0.548387,16,L
73.275862,12.37931,24.551724,0.753653,11.655172,26.275862,37.931034,0.689655,10,L
74.344828,10.896552,24.37931,0.749596,12.172414,22.689655,34.862069,0.827586,12,L
77.366667,5.6,28.066667,0.621441,15.766667,25.733333,41.5,0.633333,4,L
73.571429,7.642857,24.75,0.661653,13.464286,25.142857,38.607143,0.75,7,L
71.448276,4.103448,25,0.756687,9.103448,21.37931,30.482759,0.62069,7,L
77.107143,10.821429,27.357143,0.665808,14.75,26.107143,40.857143,0.892857,2,L
68.78125,1.875,22.9375,0.748838,9.375,24,33.375,0.65625,15,L
80.8,11.4,29.533333,0.723015,12.233333,25.3,37.533333,0.833333,12,L
73.344828,8.137931,24.655172,0.790663,10.034483,23.689655,33.724138,0.689655,3,L
75.5,9.333333,26.766667,0.710305,13.4,25.466667,38.866667,0.733333,10,L
83.071429,7.607143,29.642857,0.676385,15.357143,24.642857,40,0.642857,6,L
69.206897,3.965517,23.310345,0.734416,8.931034,25.896552,34.827586,0.689655,14,L
78.206897,14.310345,28.896552,0.692587,11.37931,24.172414,35.551724,0.896552,2,L
69.166667,5.366667,23.2,0.737523,9.266667,24.266667,33.533333,0.766667,12,L
68.875,12.78125,25.71875,0.627677,12.90625,23.71875,36.625,0.875,3,L
62.5,5.692308,22.346154,0.706976,8.576923,22.192308,30.769231,0.730769,14,L
71.5,7.178571,24.785714,0.710219,11.678571,21.892857,33.571429,0.714286,5,L
64.53125,5.53125,22.25,0.732338,11.96875,23.5,35.46875,0.625,11,L
71.275862,8.37931,26.310345,0.680749,13.206897,22.206897,35.413793,0.862069,9,L
72.285714,7.821429,26.107143,0.709502,11.785714,25.321429,37.107143,0.678571,8,L
70.909091,8.151515,25.181818,0.65457,12.69697,23.636364,36.333333,0.69697,10,L
77.785714,16.285714,27.178571,0.715517,9.678571,23.25,32.928571,0.964286,1,L
73.933333,13.233333,26.533333,0.756933,11.1,25.2,36.3,0.966667,1,L
72.928571,6.107143,27.678571,0.628918,13.928571,24.714286,38.642857,0.75,5,L
77.133333,10.733333,27.6,0.668835,16.3,25.1,41.4,0.766667,3,L
73.40625,6.96875,27.125,0.733271,11.3125,22.6875,34,0.6875,8,L
74.551724,7.551724,27.551724,0.649873,12.344828,22.689655,35.034483,0.689655,9,L
70.517241,8.310345,25.517241,0.735814,12.37931,23.896552,36.275862,0.827586,14,L
76.269231,6.384615,27.192308,0.68225,11.653846,21.961538,33.615385,0.692308,14,L
72.428571,-0.214286,24.285714,0.690526,12.357143,25.142857,37.5,0.571429,16,L
64.903226,7.290323,23.322581,0.702905,10.645161,24,34.645161,0.741935,11,L
75.482759,8.241379,25.655172,0.738269,10.275862,24.068966,34.344828,0.758621,13,L
70.8,7.233333,26.066667,0.590927,12.333333,25.4,37.733333,0.766667,13,L
72.275862,0.827586,24.758621,0.711314,11.896552,26.517241,38.413793,0.586207,15,L
73.833333,9.1,25.733333,0.705796,11.433333,24.2,35.633333,0.7,6,L
66.4,4.3,23.833333,0.687912,11.633333,24.9,36.533333,0.733333,15,L
79.2,13.266667,27.433333,0.718628,14.366667,23.666667,38.033333,0.866667,11,L
83.821429,8.178571,28.5,0.714641,14.035714,23.5,37.535714,0.678571,4,L
81.433333,3.2,28.5,0.720256,12.4,23,35.4,0.633333,8,L
68.633333,11.966667,23.733333,0.712921,11.266667,21.7,32.966667,0.8,6,L
70.424242,8.060606,24.545455,0.675834,11.787879,23.69697,35.484848,0.69697,7,L
75.433333,10.6,25.366667,0.736174,10.233333,26.466667,36.7,0.766667,5,L
69.068966,1.275862,23.655172,0.622171,12.931034,24.310345,37.241379,0.551724,16,L
79.666667,10.121212,29.121212,0.764322,13.727273,23.272727,37,0.818182,3,L
71.928571,8.107143,25.535714,0.708476,14.321429,23.464286,37.785714,0.857143,4,L
63.580645,5.129032,21.258065,0.685766,9.354839,22.419355,31.774194,0.709677,14,L
78.357143,6.285714,26.428571,0.683262,14.571429,24.107143,38.678571,0.75,7,L
70.444444,2.888889,24.481481,0.673414,13.518519,27.074074,40.592593,0.62963,15,L
76.419355,12,25.548387,0.699761,14.387097,27.064516,41.451613,0.774194,7,L
78.62069,11.862069,27.965517,0.681481,15.689655,30.448276,46.137931,0.758621,2,L
71.515152,6.545455,24.30303,0.735201,9.878788,21.515152,31.393939,0.69697,10,L
62.40625,0.5625,20.25,0.745841,10.15625,17.375,27.53125,0.59375,16,L
79.766667,13.966667,26.533333,0.711814,13.5,24.933333,38.433333,0.833333,1,L
70.37037,2.888889,26.259259,0.674353,10.925926,23.555556,34.481481,0.703704,15,L
74.16129,3.258065,27.064516,0.663417,12.451613,23.645161,36.096774,0.612903,16,L
76.866667,14.133333,26.766667,0.700942,11.5,25.833333,37.333333,0.766667,4,L
77.241379,10.310345,27.724138,0.705165,13.034483,23.655172,36.689655,0.758621,12,L
74.566667,8.266667,26.7,0.679083,12.766667,26.7,39.466667,0.633333,5,L
79.689655,9.896552,27.586207,0.74164,11.724138,26.448276,38.172414,0.862069,3,L
77.424242,17.30303,28.151515,0.725846,10.969697,23.393939,34.363636,0.969697,1,L
73.21875,6.1875,25.65625,0.679819,11.09375,25,36.09375,0.65625,10,L
68.37931,4.241379,25.241379,0.704509,11.758621,23.206897,34.965517,0.62069,9,L
75.448276,10.206897,26.931034,0.688627,11.793103,25.965517,37.758621,0.793103,3,L
73.733333,11.833333,26.5,0.662356,12.7,22.9,35.6,0.833333,2,L
80.548387,17.903226,26.548387,0.739899,12.709677,26.419355,39.129032,0.870968,4,L
75.482759,4.448276,25.965517,0.734194,11.482759,24.896552,36.37931,0.689655,6,L
78.071429,14.714286,27.714286,0.776947,11.857143,24.178571,36.035714,0.785714,5,L
68.451613,5.612903,24.193548,0.703821,11.387097,22.483871,33.870968,0.677419,8,L
72.4375,6.4375,25.5625,0.664478,14.5,26.46875,40.96875,0.6875,9,L
69.285714,0.25,23.428571,0.668679,10.285714,25.714286,36,0.571429,16,L
73.84375,7.46875,25.1875,0.697525,11.09375,21.4375,32.53125,0.59375,10,L
69.551724,7.034483,24.724138,0.70198,12.068966,27.310345,39.37931,0.793103,9,L
75.870968,10.935484,25.967742,0.68173,9.709677,24,33.709677,0.806452,12,L
85.172414,7,27.896552,0.756275,15.862069,24.965517,40.827586,0.689655,14,L
88.774194,18.516129,30.451613,0.735219,13.774194,26.548387,40.322581,0.870968,1,W
72.5,5.7,26.4,0.699074,8.766667,24.566667,33.333333,0.666667,11,L
70.344828,-3.137931,25.068966,0.667398,11.862069,20.655172,32.517241,0.37931,16,L
71.806452,3.83871,24.354839,0.698558,10.903226,21.903226,32.806452,0.677419,13,L
75.419355,12.387097,27.516129,0.663755,12.741935,22.451613,35.193548,0.774194,3,L
78.103448,12.241379,27.724138,0.771729,11.37931,22.827586,34.206897,0.793103,2,L
70.3125,9.8125,25.125,0.688304,12,24.3125,36.3125,0.84375,12,L
72.413793,8.862069,25.448276,0.743987,9.758621,26.034483,35.793103,0.896552,8,L
68.464286,7.642857,23.535714,0.660498,12.357143,25.142857,37.5,0.714286,13,L
72.357143,9.392857,25.464286,0.663951,14.428571,23.892857,38.321429,0.714286,9,L
66.875,6.78125,24.96875,0.732292,11.3125,21.65625,32.96875,0.78125,7,L
61.296296,5,22.444444,0.628034,10.740741,20.333333,31.074074,0.703704,15,L
69.967742,4.709677,23.419355,0.708395,12.129032,23.709677,35.83871,0.741935,10,L
70.1,2.066667,25,0.72689,12.266667,23.7,35.966667,0.6,8,L
75.484848,10.727273,27.969697,0.668237,13.818182,24.151515,37.969697,0.818182,4,L
77.344828,8.344828,26.241379,0.699386,13.448276,26.034483,39.482759,0.655172,8,L
77.533333,7.966667,28.233333,0.755707,11.366667,23.5,34.866667,0.666667,6,L
77.806452,6.258065,27.483871,0.695978,11.741935,21.258065,33,0.677419,11,L
68.275862,3.172414,23.413793,0.701903,11.965517,23.137931,35.103448,0.724138,15,L
74,2.571429,25.785714,0.723359,11.928571,25.25,37.178571,0.642857,11,L
72.344828,4.137931,25.931034,0.650199,14.241379,21.172414,35.413793,0.655172,13,L
67.366667,10.433333,23.7,0.728347,10.633333,23.333333,33.966667,0.833333,6,L
72.967742,15.483871,26.806452,0.69836,9.516129,24.774194,34.290323,0.774194,14,L
75.65625,9.15625,25.9375,0.79167,11.09375,23.0625,34.15625,0.78125,11,L
72.6,10.666667,25.366667,0.709005,12.033333,25.866667,37.9,0.8,13,L
73.758621,11.103448,25.482759,0.731643,14.275862,22.586207,36.862069,0.758621,5,L
84.709677,11.290323,29.193548,0.678716,13.967742,25.677419,39.645161,0.83871,2,L
86.225806,12.806452,31.516129,0.728155,15.064516,22.451613,37.516129,0.83871,1,L
70.225806,4.516129,24.483871,0.745412,9.903226,20.774194,30.677419,0.677419,7,L
73.888889,9.814815,25.592593,0.693775,13.333333,23.296296,36.62963,0.814815,12,L
66.758621,7.724138,22.62069,0.68218,11.172414,23.482759,34.655172,0.827586,14,L
67.166667,7.533333,23.2,0.665947,10.5,24.566667,35.066667,0.733333,6,L
63.5,8.928571,21.928571,0.745385,6.785714,17.785714,24.571429,0.785714,13,L
69.965517,2.827586,24.517241,0.717207,12.517241,24.482759,37,0.586207,10,L
68.870968,4.580645,23.193548,0.716766,11,22.967742,33.967742,0.677419,16,L
72.935484,4.870968,27.290323,0.69962,13.612903,20.903226,34.516129,0.612903,8,L
74.322581,9.258065,26.516129,0.693332,12.193548,22.83871,35.032258,0.709677,8,L
81.833333,5.9,29.333333,0.697998,11.833333,23.9,35.733333,0.666667,15,L
74.53125,7.65625,26.375,0.663096,13.03125,22.15625,35.1875,0.78125,4,L
71.533333,7.233333,26.1,0.708027,12.6,25.1,37.7,0.666667,13,L
66.310345,10.655172,23,0.704671,9.310345,22.37931,31.689655,0.862069,9,L
69.2,4.466667,23.233333,0.720429,9.733333,22.8,32.533333,0.666667,7,L
81.333333,15.9,29.066667,0.690135,16.3,28.666667,44.966667,0.9,1,L
75.592593,5.407407,26.740741,0.768617,12.259259,26.259259,38.518519,0.62963,15,L
82.515152,13.545455,27.757576,0.760411,9.545455,23.363636,32.909091,0.909091,1,L
79.272727,14.484848,27.636364,0.748993,10.606061,24.636364,35.242424,0.818182,3,W
78.964286,12.285714,28.321429,0.648788,13.821429,24.357143,38.178571,0.928571,8,L
69.4,10.566667,25.733333,0.674464,10.1,24.8,34.9,0.766667,11,L
66.666667,7.133333,23.966667,0.684973,10.7,21.9,32.6,0.7,7,L
80.1,7.633333,27.3,0.78604,12.6,25,37.6,0.9,3,L
66.806452,3,23.967742,0.615648,13.774194,25.451613,39.225806,0.516129,16,L
69.967742,11.870968,25.612903,0.624994,12.451613,23.548387,36,0.806452,4,L
71.172414,5.275862,25.206897,0.681124,10,23.931034,33.931034,0.62069,6,L
80.366667,8.433333,28.6,0.683748,13.333333,23.7,37.033333,0.766667,13,L
66.393939,7.636364,23.121212,0.701978,11,26.848485,37.848485,0.757576,3,L
74.354839,13.290323,27.290323,0.651195,13.16129,26.16129,39.322581,0.774194,4,L
72.0625,6.9375,24.5,0.727118,11.0625,22.375,33.4375,0.75,12,L
70.454545,4.848485,25.909091,0.652259,12.666667,23.212121,35.878788,0.636364,8,L
74.766667,9.533333,27.7,0.689,13.9,26.333333,40.233333,0.733333,4,L
74.206897,4.551724,26.275862,0.719472,11.965517,23.586207,35.551724,0.655172,7,L
80.909091,15.030303,28.060606,0.686238,15.818182,26.242424,42.060606,0.909091,1,L
73.9375,5.4375,26.125,0.773525,11.0625,24.78125,35.84375,0.65625,6,L
64.84375,0.84375,23.3125,0.644932,8.84375,23.8125,32.65625,0.5625,16,L
78.148148,6.814815,27.814815,0.70527,11.074074,24.074074,35.148148,0.777778,12,L
71.103448,9.689655,25.931034,0.655193,12.965517,23.896552,36.862069,0.793103,14,L
75.7,8.033333,25,0.743006,9.033333,24.2,33.233333,0.7,10,L
72.225806,9.032258,25.83871,0.713499,12.645161,25.677419,38.322581,0.83871,5,L
80.37931,11.482759,28.206897,0.697199,14.034483,25.965517,40,0.758621,3,L
65.433333,6.8,22.9,0.71507,8.5,24.7,33.2,0.7,10,L
75.758621,6.172414,26.62069,0.680943,13.068966,22.586207,35.655172,0.758621,14,L
74.7,11.2,26.266667,0.71154,10.1,23.933333,34.033333,0.833333,2,L
68.607143,5.571429,24.428571,0.724172,14.642857,21.964286,36.607143,0.714286,6,L
74.322581,6.516129,25.935484,0.714055,13.483871,23.903226,37.387097,0.645161,16,L
73.724138,10.137931,26.551724,0.731344,9.862069,25.310345,35.172414,0.758621,13,L
69,8.925926,24.703704,0.657512,10.518519,21.740741,32.259259,0.703704,15,L
72.451613,9.677419,25.290323,0.696292,13.096774,26.096774,39.193548,0.774194,5,L
60.774194,5.032258,21.290323,0.692342,11.83871,20.967742,32.806452,0.709677,11,L
73.933333,7.133333,25.2,0.715048,13.133333,21.833333,34.966667,0.733333,11,L
67.827586,1.37931,23.137931,0.735154,12.551724,24.310345,36.862069,0.62069,10,L
74.103448,8.206897,25.793103,0.709339,11.172414,22.758621,33.931034,0.793103,14,L
65.774194,1.258065,24.677419,0.652825,13.096774,25.709677,38.806452,0.612903,16,L
72.852941,3.852941,26.264706,0.648215,13.676471,24.647059,38.323529,0.676471,5,L
81.321429,7.642857,28.857143,0.696509,11.535714,21.821429,33.357143,0.75,2,L
76.121212,16.030303,26.969697,0.730211,14.060606,26.181818,40.242424,0.818182,2,L
69.206897,8.758621,23.551724,0.663318,10.37931,21.310345,31.689655,0.724138,12,L
73.931034,8.517241,26.206897,0.65709,10.655172,20.206897,30.862069,0.793103,9,L
68.575758,9.454545,24.393939,0.699394,10.878788,22.090909,32.969697,0.818182,2,L
67.65625,8.6875,24.21875,0.688524,11.90625,24.28125,36.1875,0.78125,9,L
71.466667,7.133333,26.033333,0.717436,9.433333,23.833333,33.266667,0.733333,12,L
75.413793,11.62069,25.034483,0.755177,13.482759,22.758621,36.241379,0.862069,1,L
82.4,12.966667,30.1,0.753685,14.833333,23.033333,37.866667,0.8,5,L
70.655172,5.62069,25.517241,0.748014,7.827586,19.724138,27.551724,0.655172,6,L
73.535714,7.785714,25.642857,0.692935,14.321429,23.892857,38.214286,0.714286,11,L
68.322581,6.774194,23.774194,0.740882,11.83871,25.032258,36.870968,0.741935,7,L
72.678571,11.678571,24.857143,0.694102,12.928571,23.107143,36.035714,0.75,15,L
71,6.3,25.033333,0.653383,12.933333,23.633333,36.566667,0.633333,9,L
71.451613,8.516129,24.419355,0.717098,10.580645,24.580645,35.16129,0.677419,14,L
68.25,3.78125,24.25,0.700403,11,22.96875,33.96875,0.71875,13,L
78.466667,5.966667,27.5,0.744289,12.366667,25.166667,37.533333,0.666667,8,L
71.382353,5.676471,25.294118,0.698708,11.235294,24.294118,35.529412,0.617647,12,L
72.645161,8.322581,25.774194,0.689381,10.870968,25.83871,36.709677,0.709677,15,L
74.645161,4.774194,25.516129,0.727158,11.83871,22.806452,34.645161,0.645161,7,L
68.290323,11.354839,21.806452,0.748382,9,20.935484,29.935484,0.806452,5,L
77.34375,7.71875,28.28125,0.66356,11.9375,25.375,37.3125,0.75,8,L
69.30303,3.575758,23.363636,0.72945,11.969697,22.969697,34.939394,0.666667,16,L
67.15625,6.71875,22.1875,0.748877,10.28125,22.5,32.78125,0.6875,10,L
80,11.290323,27.709677,0.770451,13.032258,26.741935,39.774194,0.870968,13,L
70.1875,8.6875,24.84375,0.689323,11.28125,23.8125,35.09375,0.6875,6,L
65.333333,1.833333,23.566667,0.65948,8.233333,19.966667,28.2,0.633333,16,L
79.323529,17.764706,28.558824,0.678258,11.088235,26.088235,37.176471,0.852941,1,W
68.967742,-1.387097,23.645161,0.666798,12.612903,23.709677,36.322581,0.580645,16,L
71.064516,6.870968,26.16129,0.726092,12.096774,21.903226,34,0.741935,11,L
68.46875,11.59375,24.5,0.703255,10.75,22.53125,33.28125,0.8125,2,L
79.096774,9.580645,29.354839,0.667779,13.677419,22.612903,36.290323,0.645161,10,L
79.121212,9.030303,27.69697,0.752259,10.515152,27.090909,37.606061,0.69697,10,L
64.242424,6.878788,21.939394,0.742149,11.363636,20.787879,32.151515,0.757576,13,L
64.5,7.352941,22.676471,0.630146,12.588235,22.529412,35.117647,0.676471,12,L
70.9,8.733333,24.766667,0.712686,11.666667,21.633333,33.3,0.666667,7,L
71.030303,-1.272727,25.030303,0.699795,13.363636,22.666667,36.030303,0.606061,16,L
78.441176,17.411765,29.058824,0.665182,13.058824,27.323529,40.382353,0.882353,1,L
73.53125,6.15625,26.4375,0.704133,10.78125,25.65625,36.4375,0.65625,8,L
80.533333,6.633333,28.3,0.697364,12.8,23.833333,36.633333,0.766667,12,L
71.290323,8.387097,24.935484,0.681543,13.580645,23.451613,37.032258,0.709677,6,L
72.4375,7.4375,25.28125,0.670715,14.25,22.5,36.75,0.71875,8,L
79.5,11.90625,28.65625,0.704444,12.625,25.9375,38.5625,0.75,4,L
79.575758,17.242424,28.090909,0.615157,14.787879,25.121212,39.909091,0.909091,2,L
59.5625,2.15625,21.84375,0.691461,8.03125,22.40625,30.4375,0.5625,14,L
65.090909,8.393939,23.090909,0.695574,11.484848,23.666667,35.151515,0.666667,9,L
77.677419,10.419355,28,0.755441,11.612903,26.548387,38.16129,0.870968,7,L
77.65625,5.5625,26.4375,0.653858,13.40625,24.625,38.03125,0.75,13,L
76.060606,2.333333,25.575758,0.737343,14.666667,23.424242,38.090909,0.666667,16,L
86.264706,18.147059,31.470588,0.709493,13.411765,27.294118,40.705882,0.823529,1,L
76.233333,4.1,27.1,0.652838,13.766667,25.2,38.966667,0.666667,15,L
81.548387,13.741935,27.129032,0.74077,12.677419,25.677419,38.354839,0.774194,6,L
73.636364,13.484848,26.272727,0.70247,11.181818,24.515152,35.69697,0.909091,1,L
70.125,7.96875,24.0625,0.722654,12.125,24.5625,36.6875,0.75,12,L
71.71875,6.25,24.15625,0.710069,10.6875,24.40625,35.09375,0.6875,14,L
76.393939,10.454545,26.272727,0.746681,12.212121,22.848485,35.060606,0.787879,3,L
74.068966,6.551724,26.862069,0.670292,10.689655,22.448276,33.137931,0.724138,14,L
71.147059,8.705882,25.882353,0.664009,12.205882,23.558824,35.764706,0.794118,3,L
69.90625,6.875,24.71875,0.692195,11.1875,21.75,32.9375,0.65625,9,L
63.28125,5.9375,21.21875,0.690346,9.375,20.09375,29.46875,0.8125,4,L
69.933333,3.166667,25.233333,0.68795,12.6,25.933333,38.533333,0.6,11,L
79.166667,8.7,27.633333,0.722734,11.2,24.166667,35.366667,0.8,15,L
79.65625,5.21875,27.6875,0.639712,13.59375,21.96875,35.5625,0.6875,5,L
82.212121,10.272727,27.69697,0.727397,14,26.181818,40.181818,0.727273,4,L
76.322581,17.129032,27,0.717994,10.193548,25.548387,35.741935,0.806452,3,L
71.575758,2.939394,24.606061,0.738323,9.393939,21.363636,30.757576,0.636364,10,L
71.966667,11.4,26.733333,0.653807,11.066667,21.833333,32.9,0.833333,2,L
75.030303,8.121212,26.606061,0.720856,12.060606,22.606061,34.666667,0.818182,7,L
71.411765,6.382353,25.529412,0.692549,9.323529,24.676471,34,0.676471,5,L
74.787879,10.030303,25.636364,0.718683,12.060606,21.272727,33.333333,0.818182,11,L
75.733333,4.266667,26.4,0.73807,10.133333,23.1,33.233333,0.633333,6,L
72.16129,7.483871,23.225806,0.779509,13.225806,23.032258,36.258065,0.677419,9,L
77.448276,5.689655,25.517241,0.734589,13.482759,25.517241,39,0.655172,4,L
