@relation 'TDR.weka-weka.filters.unsupervised.attribute.Remove-R1-4,7-27'

@attribute pt.diff.RS numeric
@attribute fgm.RS numeric
@attribute region.TS {Y,Z,W,X}
@attribute seed.num.TS numeric
@attribute champ.TS {L,W}

@data
11.833333,26.5,Y,2,L
17.903226,26.548387,W,4,L
4.448276,25.965517,X,6,L
14.714286,27.714286,Y,5,L
5.612903,24.193548,Z,8,L
6.4375,25.5625,Y,9,L
0.25,23.428571,W,16,L
7.46875,25.1875,Z,10,L
7.034483,24.724138,X,9,L
10.935484,25.967742,Z,12,L
7,27.896552,Y,14,L
18.516129,30.451613,Z,1,W
5.7,26.4,Z,11,L
-3.137931,25.068966,Z,16,L
3.83871,24.354839,Z,13,L
12.387097,27.516129,Y,3,L
12.241379,27.724138,X,2,L
9.8125,25.125,Y,12,L
8.862069,25.448276,W,8,L
7.642857,23.535714,X,13,L
9.392857,25.464286,W,9,L
6.78125,24.96875,X,7,L
5,22.444444,X,15,L
4.709677,23.419355,X,10,L
2.066667,25,Y,8,L
10.727273,27.969697,Y,4,L
8.344828,26.241379,X,8,L
7.966667,28.233333,W,6,L
6.258065,27.483871,X,11,L
3.172414,23.413793,Z,15,L
2.571429,25.785714,W,11,L
4.137931,25.931034,W,13,L
10.433333,23.7,Y,6,L
15.483871,26.806452,X,14,L
9.15625,25.9375,Y,11,L
10.666667,25.366667,Y,13,L
11.103448,25.482759,Z,5,L
11.290323,29.193548,W,2,L
12.806452,31.516129,W,1,L
4.516129,24.483871,W,7,L
9.814815,25.592593,X,12,L
7.724138,22.62069,W,14,L
7.533333,23.2,Z,6,L
8.928571,21.928571,Z,13,L
2.827586,24.517241,X,10,L
4.580645,23.193548,Z,16,L
4.870968,27.290323,Y,8,L
9.258065,26.516129,X,8,L
5.9,29.333333,X,15,L
7.65625,26.375,Y,4,L
7.233333,26.1,X,13,L
10.655172,23,X,9,L
4.466667,23.233333,W,7,L
15.9,29.066667,Z,1,L
5.407407,26.740741,Y,15,L
13.545455,27.757576,W,1,L
14.484848,27.636364,Y,3,W
12.285714,28.321429,W,8,L
10.566667,25.733333,Z,11,L
7.133333,23.966667,Y,7,L
7.633333,27.3,X,3,L
3,23.967742,Y,16,L
11.870968,25.612903,Z,4,L
5.275862,25.206897,X,6,L
8.433333,28.6,W,13,L
7.636364,23.121212,W,3,L
13.290323,27.290323,X,4,L
6.9375,24.5,X,12,L
4.848485,25.909091,Z,8,L
9.533333,27.7,W,4,L
4.551724,26.275862,X,7,L
15.030303,28.060606,X,1,L
5.4375,26.125,Z,6,L
0.84375,23.3125,Y,16,L
6.814815,27.814815,Y,12,L
9.689655,25.931034,Z,14,L
8.033333,25,W,10,L
9.032258,25.83871,Y,5,L
11.482759,28.206897,Z,3,L
6.8,22.9,Y,10,L
6.172414,26.62069,W,14,L
11.2,26.266667,Y,2,L
5.571429,24.428571,Y,6,L
6.516129,25.935484,X,16,L
10.137931,26.551724,Y,13,L
8.925926,24.703704,W,15,L
9.677419,25.290323,X,5,L
5.032258,21.290323,W,11,L
7.133333,25.2,X,11,L
1.37931,23.137931,Z,10,L
8.206897,25.793103,Y,14,L
1.258065,24.677419,W,16,L
3.852941,26.264706,W,5,L
7.642857,28.857143,Z,2,L
16.030303,26.969697,W,2,L
8.758621,23.551724,W,12,L
8.517241,26.206897,Z,9,L
9.454545,24.393939,X,2,L
8.6875,24.21875,W,9,L
7.133333,26.033333,Z,12,L
11.62069,25.034483,Y,1,L
12.966667,30.1,Z,5,L
5.62069,25.517241,W,6,L
7.785714,25.642857,Y,11,L
6.774194,23.774194,Z,7,L
11.678571,24.857143,Z,15,L
6.3,25.033333,Y,9,L
8.516129,24.419355,X,14,L
3.78125,24.25,X,13,L
5.966667,27.5,Y,8,L
5.676471,25.294118,W,12,L
8.322581,25.774194,W,15,L
4.774194,25.516129,W,7,L
11.354839,21.806452,Y,5,L
7.71875,28.28125,X,8,L
3.575758,23.363636,X,16,L
6.71875,22.1875,X,10,L
11.290323,27.709677,Y,13,L
8.6875,24.84375,Z,6,L
1.833333,23.566667,W,16,L
17.764706,28.558824,Y,1,W
-1.387097,23.645161,Z,16,L
6.870968,26.16129,W,11,L
11.59375,24.5,W,2,L
9.580645,29.354839,Y,10,L
9.030303,27.69697,Z,10,L
6.878788,21.939394,Z,13,L
7.352941,22.676471,Z,12,L
8.733333,24.766667,Z,7,L
-1.272727,25.030303,Y,16,L
17.411765,29.058824,Z,1,L
6.15625,26.4375,Z,8,L
6.633333,28.3,X,12,L
8.387097,24.935484,X,6,L
7.4375,25.28125,W,8,L
11.90625,28.65625,Y,4,L
17.242424,28.090909,X,2,L
2.15625,21.84375,Y,14,L
8.393939,23.090909,W,9,L
10.419355,28,X,7,L
5.5625,26.4375,W,13,L
2.333333,25.575758,Z,16,L
18.147059,31.470588,W,1,L
4.1,27.1,X,15,L
13.741935,27.129032,Y,6,L
13.484848,26.272727,X,1,L
7.96875,24.0625,Y,12,L
6.25,24.15625,W,14,L
10.454545,26.272727,Y,3,L
6.551724,26.862069,X,14,L
8.705882,25.882353,Z,3,L
6.875,24.71875,Y,9,L
5.9375,21.21875,Z,4,L
3.166667,25.233333,X,11,L
8.7,27.633333,Y,15,L
5.21875,27.6875,X,5,L
10.272727,27.69697,W,4,L
17.129032,27,X,3,L
2.939394,24.606061,W,10,L
11.4,26.733333,Z,2,L
8.121212,26.606061,Y,7,L
6.382353,25.529412,W,5,L
10.030303,25.636364,Z,11,L
4.266667,26.4,W,6,L
7.483871,23.225806,Z,9,L
5.689655,25.517241,X,4,L
6.903226,26.387097,Z,5,L
7.40625,24.125,W,3,L
0.75,23.964286,Z,15,L
11.25,26.785714,Y,11,L
12.852941,24.235294,Y,2,L
2.96875,23.21875,Z,14,L
11.625,24.96875,X,9,L
3.3125,21.15625,W,15,L
4.78125,24.71875,Z,10,L
6.606061,26.727273,W,9,L
3.911765,24.647059,Y,15,L
6.266667,27.9,Z,11,L
5.03125,27.1875,Z,15,L
5.125,28.84375,W,14,L
10.59375,22.71875,W,7,L
10.941176,25.941176,Z,8,L
9.6875,29.5,X,5,L
9.09375,26.34375,Z,4,L
-6.970588,20.588235,W,16,L
7.615385,27.115385,Y,14,L
9.580645,29.741935,X,14,L
14.193548,28.645161,X,10,L
11.233333,24.366667,Z,5,L
14.8125,28.75,Z,2,L
7.575758,24.484848,W,12,L
11.75,25.09375,X,2,L
0.90625,24.5625,Z,14,L
13.25,27,X,7,L
10.4375,25.34375,W,8,L
19.515152,29.454545,X,1,W
9.8,27.9,X,11,L
7.647059,24.058824,X,9,L
3.266667,23.733333,Y,11,L
10.59375,25.5,W,3,L
11.59375,26.5,Y,6,L
19.058824,28.764706,Y,1,L
5.774194,25.032258,Y,7,L
9.30303,26.333333,Y,5,L
8.03125,26.09375,Y,8,L
-4.6,20.9,Z,16,L
2.5625,24.21875,W,16,L
15.970588,31.852941,W,1,L
10.096774,28.225806,W,5,L
5.030303,24,W,6,L
7.387097,23.709677,Y,13,L
4.387097,26.967742,Y,9,L
8.942857,27.085714,Y,4,L
5.766667,25.633333,X,16,L
7.53125,23.34375,Z,6,L
2,23.666667,Z,13,L
5.75,27.5625,X,13,L
9.935484,25.612903,W,10,L
6.060606,25.30303,W,11,L
12.433333,26.466667,Y,10,L
10.060606,24.848485,Y,3,L
4.030303,25.333333,Y,12,L
11.53125,29.03125,W,2,L
9.939394,26.848485,Y,2,L
9.181818,25.242424,Z,9,L
14.393939,26.545455,Z,1,L
5.354839,26.580645,X,15,L
7.3125,23.9375,X,8,L
5.875,24.96875,X,6,L
2.535714,25.642857,Y,16,L
6.212121,27.363636,X,4,L
3.53125,24.84375,X,12,L
11.483871,27.322581,Z,12,L
10,23.25,W,4,L
11.424242,26.393939,Z,7,L
6.290323,23.580645,W,13,L
13.575758,23.484848,X,3,L
13,25.454545,Z,3,L
5.911765,22.588235,X,13,L
5.896552,25.551724,Y,16,L
6.032258,23.354839,W,14,L
3.75,25.65625,Y,12,L
9.484848,23.787879,X,6,L
2.966667,24.033333,W,15,L
4.484848,26.272727,Y,7,L
8.8,21.766667,X,9,L
12.451613,27.645161,Z,8,L
6.6875,27.09375,Z,7,L
-1.46875,24.75,Z,16,L
10.741935,28.741935,X,7,L
5.125,23.03125,Y,13,L
13.354839,27.387097,Z,1,L
8.241379,26.172414,Z,14,L
3.586207,26.482759,Z,15,L
6,23.939394,Y,11,L
12.411765,26.588235,W,2,L
7.9375,27.625,W,16,L
3.617647,23.529412,W,5,L
17.233333,28.533333,X,4,L
8,25.090909,X,5,L
11.3125,27.0625,Y,3,L
12.333333,26.787879,Y,1,L
9.424242,26.69697,X,8,L
9.393939,26.484848,Z,6,L
3,26.242424,Z,10,L
17.176471,26,Z,2,L
3.53125,23.1875,X,10,L
9,25.375,Y,2,L
4.709677,23.612903,W,10,L
5,24.588235,Z,13,L
14.647059,29.411765,Z,3,L
0.65625,23.71875,Y,16,L
5.363636,24.545455,X,15,L
10.133333,27.933333,Y,14,L
16.516129,31.354839,X,1,W
4.151515,22.606061,Z,12,L
5.0625,23.5625,Y,8,L
11.375,27.25,X,2,L
6.909091,27.030303,W,8,L
13.548387,29.258065,W,1,L
5.354839,26.129032,W,13,L
10.235294,24.823529,Z,5,L
2.241379,26.517241,X,16,L
5.705882,25.147059,Y,15,L
6.148148,23.888889,X,14,L
7.636364,28.909091,Y,9,L
8.058824,29.323529,X,3,L
5.575758,25.060606,X,11,L
6.121212,28.272727,W,9,L
6.878788,26.212121,W,7,L
5.375,23.9375,Z,9,L
12.727273,28.060606,W,6,L
4.878788,24.909091,Y,10,L
7.5,24,Y,5,L
10.454545,25.818182,Z,11,L
8.636364,25.636364,W,11,L
9.545455,25.969697,W,3,L
5.16129,25.387097,X,12,L
11.066667,29.333333,Y,4,L
9.333333,27.939394,Z,4,L
10.764706,25.529412,Y,6,L
5.387097,22.483871,W,12,L
9.96875,24.34375,W,4,L
-0.28125,21.59375,X,16,L
10.16129,27.16129,X,3,L
10.0625,22.71875,Z,5,L
16.939394,28.393939,Z,7,L
9.575758,27.909091,X,8,L
9.451613,26.548387,W,7,L
10.62069,26.758621,W,12,L
16.264706,26.5,X,1,W
2.636364,24.484848,W,16,L
6.181818,25.939394,Z,10,L
8.322581,24.580645,Z,9,L
8.121212,26.484848,Y,3,L
6.424242,26.30303,Y,10,L
9.645161,27,Z,8,L
3.727273,27.484848,Y,13,L
17.970588,28.558824,Y,1,L
10.25,26.25,Z,2,L
13.970588,28,W,1,L
5.09375,25.53125,Y,16,L
6.75,26.5625,X,9,L
8.757576,25.272727,W,6,L
11.233333,29.133333,Y,4,L
8.9375,26.90625,Y,5,L
8.882353,26.264706,Z,11,L
11.75,27.375,W,10,L
7.275862,24.586207,W,14,L
6.5,26.166667,W,15,L
15.0625,26.78125,Z,13,L
9.575758,25.424242,W,3,L
0.5,27.15625,Y,12,L
3.566667,24.133333,Z,15,L
9.03125,21.5,Y,9,L
7.147059,26.382353,X,6,L
3.5,26.15625,Z,14,L
4.882353,24.5,Y,14,L
13.029412,26.823529,Y,2,L
6.21875,25.53125,Y,7,L
10.382353,25.852941,X,11,L
6.71875,23.5625,Z,3,L
10.1875,24.8125,X,4,L
7.058824,24.794118,X,7,L
2.823529,23.323529,X,15,L
7.571429,27.285714,X,14,L
7.451613,25.419355,Y,11,L
1.607143,22.321429,Y,15,L
10.181818,27.484848,X,13,L
12.533333,28.033333,X,10,L
14.59375,30.0625,Z,1,L
8.794118,24.235294,W,5,L
8.69697,26.757576,Y,6,L
11.545455,29.666667,W,8,L
6.483871,23.612903,X,5,L
8.78125,26.5625,Y,8,L
13.393939,27,X,12,L
11.59375,27.09375,Z,12,L
7.645161,26.064516,Z,4,L
6.264706,23.617647,Z,16,L
9.677419,27.612903,X,2,L
4.517241,26.206897,W,9,L
9.848485,27.878788,W,11,L
9.181818,25.272727,W,2,L
0.633333,22.633333,X,16,L
11.290323,23.612903,W,4,L
7.151515,23.545455,W,13,L
10.96875,27.59375,Z,6,L
3.647059,24.588235,Z,15,L
-2.875,20.90625,W,16,L
9.058824,25.411765,X,5,L
-1.272727,21.969697,Y,16,L
18.411765,27.235294,Y,13,L
1.970588,21.5,Z,16,L
7.333333,24.575758,X,14,L
7.483871,24.709677,Y,8,L
13.424242,27.545455,Y,3,L
9.757576,24.151515,X,6,L
7.3125,23.71875,W,12,L
7.028571,26,X,3,W
16.794118,28.117647,X,1,L
8.484848,25.939394,Y,2,L
7.064516,24.483871,Z,10,L
11.8125,25.90625,W,8,L
4.935484,25.451613,Z,6,L
4.53125,25,W,10,L
10.6875,26.34375,Y,11,L
5.032258,22.612903,X,16,L
6.0625,26.34375,Z,9,L
1.0625,22.34375,W,14,L
17.147059,29.588235,Z,1,L
6.580645,24.870968,Y,5,L
12.575758,26.787879,W,4,L
8.71875,28.03125,W,15,L
10.735294,27.264706,Z,4,L
7.029412,26.617647,W,11,L
3.941176,25.441176,X,12,L
2.875,23.5,X,8,L
2.15625,23.8125,Y,10,L
9,28.875,X,11,L
6.83871,24.096774,Z,13,L
4.37931,22.482759,X,15,L
8.909091,27.909091,W,2,L
10.375,25.09375,Z,2,L
8.545455,29.878788,X,13,L
17.264706,27.441176,W,1,L
7.545455,23.848485,Y,9,L
0.606061,22.454545,X,10,L
13.09375,26.09375,Y,1,L
5.566667,24.433333,W,13,L
11.21875,25.6875,Z,3,L
9.176471,24.941176,Z,12,L
12.125,26.09375,X,2,L
2.103448,23.137931,Y,15,L
3.65625,24.375,Y,6,L
1.484848,21.090909,Z,14,L
10.272727,26.878788,W,3,L
8.78125,25.59375,X,7,L
3.333333,24.909091,X,9,L
13.529412,26.470588,X,4,L
7.129032,22.967742,Z,7,L
6.566667,24.6,W,12,L
4.1875,24.53125,Y,7,L
3,25.241379,Y,16,L
9.28125,25.65625,Z,8,L
4.060606,24.181818,Z,11,L
-0.241379,23.482759,W,16,L
13.28125,24.375,Y,12,L
4.088235,24.264706,Z,11,L
8.575758,25,Z,5,L
7.15625,24.28125,W,9,L
13.121212,30.363636,W,7,L
5.451613,23.677419,W,5,L
9.870968,23.870968,Y,4,L
5.969697,26.090909,Y,14,L
8.064516,24.612903,W,6,L
6.8125,23.625,X,9,L
9,26.090909,Y,3,L
13.878788,27.909091,X,14,L
10.774194,27.967742,Z,14,L
9.878788,26.424242,X,12,L
7.323529,25.058824,W,6,L
2.71875,22.71875,Y,11,L
2.677419,24.129032,Z,11,L
4.727273,25.363636,Y,9,L
10.484848,28.030303,X,8,L
9.451613,26.483871,Z,13,L
2.939394,24.30303,X,15,L
9.060606,25.757576,Y,2,L
10.242424,26.424242,Z,7,L
7.424242,25.272727,W,3,L
9.333333,24.233333,X,3,L
10.774194,24.935484,W,7,L
10.034483,22.034483,W,12,L
11.727273,25.969697,Y,4,L
10.6875,30.9375,Z,14,L
6.46875,24.875,Y,8,L
13.090909,26.666667,X,2,L
7.709677,24.83871,W,8,L
17.676471,27.323529,Y,1,W
6.75,25.375,X,16,L
10.21875,25.75,Y,15,L
9.16129,25.580645,Z,12,L
4.545455,27.212121,Z,16,L
7.657143,24.228571,Z,4,L
3.78125,23,W,15,L
9.71875,26.5,Z,3,L
12.147059,26.823529,Z,8,L
4.5,23.875,X,4,L
13.029412,25.911765,Z,1,L
14.558824,28,Z,2,L
9.034483,24.827586,W,13,L
-0.363636,23.939394,Y,16,L
11.857143,24.642857,Z,6,L
5.352941,26.676471,X,11,L
12.90625,24.84375,Z,5,L
9.30303,26.484848,Y,13,L
2.8125,24.3125,Z,15,L
15.117647,30,X,1,L
4.969697,22.909091,Y,7,L
7.545455,24.363636,X,13,L
15.705882,27.588235,W,2,L
6.181818,25.545455,X,10,L
9.75,25.96875,Y,14,L
5.870968,25.193548,X,6,L
1.5,21.1875,X,12,L
4.516129,23.709677,W,9,L
5.677419,24.096774,W,14,L
11.709677,24.258065,Z,9,L
10.933333,25.466667,X,7,L
14.181818,27.575758,W,1,L
6.129032,27.290323,X,5,L
6.242424,24.727273,W,11,L
6.2,25.766667,W,16,L
9.59375,26.71875,Y,6,L
8.617647,23.205882,Y,12,L
7.941176,24.705882,W,5,L
6.735294,23.470588,X,16,L
9.387097,22.677419,Z,10,L
-2.939394,21.969697,Y,16,L
5.46875,25.6875,W,10,L
14.16129,27.387097,Y,5,L
11,22.121212,W,4,L
3.333333,25.121212,Y,10,L
9.677419,25.774194,X,12,L
4.117647,21.823529,Y,15,L
9.59375,25.03125,Z,6,L
12.266667,27.633333,Z,11,L
4.62069,24.793103,Z,13,L
9.5625,24.09375,W,11,L
4.909091,23.939394,W,6,L
3.16129,25.322581,W,12,L
7.878788,23.151515,Y,10,L
4.375,23.6875,W,10,L
8.709677,24.935484,Y,8,L
12.294118,26.676471,Y,7,L
11.09375,24.5625,W,14,L
12.875,27.34375,Y,2,L
5.03125,26.21875,X,15,L
17.939394,26.212121,X,3,L
8.83871,23,X,2,L
17.3125,27.3125,Z,1,L
4.703704,22.703704,Z,14,L
3.212121,23.939394,W,7,L
17.545455,26.878788,W,1,L
4.939394,28.272727,Z,15,L
8.424242,27.575758,Z,10,L
0.823529,22.529412,W,16,L
13.911765,26.617647,X,1,L
7.272727,24.666667,Z,4,L
6.466667,25.733333,Z,13,L
-3.40625,22.6875,Y,16,L
3.060606,27.090909,W,16,L
15.588235,25.852941,Y,1,W
6.258065,24.516129,W,3,L
10.705882,27.558824,Y,6,L
9.242424,25.060606,W,2,L
11.4375,27.65625,X,4,L
8.125,24.375,Y,3,L
6.75,23.875,X,11,L
10.617647,27.205882,Z,12,L
10.060606,27.272727,Y,9,L
4.827586,23.862069,W,13,L
13.454545,25.030303,Y,11,L
0.205882,20.558824,Y,16,L
7.470588,28.117647,W,8,L
7.029412,21.970588,Z,3,L
5.151515,23.848485,Y,13,L
7.060606,28.333333,X,8,L
5.518519,27.444444,X,14,L
7.235294,25.588235,Z,7,L
11.363636,25.090909,Z,2,L
4.935484,25.16129,X,10,L
9.53125,24.78125,Y,5,L
8.117647,25.470588,Y,12,L
1.84375,23.21875,W,15,L
14.15625,25.5625,Z,8,L
6.290323,25.322581,X,13,L
7.1,24.266667,X,7,L
8.172414,22.655172,Z,16,L
10.575758,23.121212,Y,4,L
11.5625,26.0625,Y,11,L
11.257143,25.685714,W,4,L
4.65625,25.1875,W,9,L
5.794118,27.676471,X,6,L
7.515152,24.939394,W,5,L
12.529412,28,X,5,L
8.875,24.25,Y,14,L
2.5,21.1875,X,9,L
0.705882,23.264706,X,16,L
8.735294,24.588235,Z,9,L
9.617647,23.764706,Z,5,L
2.1875,22.4375,X,16,L
5.3125,23.03125,Z,15,L
14.911765,26.235294,Z,1,L
6.15625,25.28125,Y,10,L
5.393939,25,Z,6,L
6.666667,29.272727,Z,10,L
-2.733333,21.733333,Y,16,L
10.393939,23.757576,W,5,L
1.5,24.666667,W,16,L
2.911765,23.5,X,8,L
8.735294,24.382353,W,7,W
12.121212,27.484848,Z,3,L
5.757576,25.666667,X,11,L
4.382353,26.941176,W,13,L
11.558824,26.676471,Y,3,L
5.451613,25.548387,X,15,L
12.794118,24.382353,X,1,L
6.53125,25.4375,W,9,L
11.272727,26.636364,Z,8,L
12.137931,24.689655,W,12,L
11.90625,27.96875,Y,11,L
8.969697,29.272727,W,3,L
9.151515,27.393939,X,2,L
4,24.34375,Y,9,L
9.264706,25.176471,Y,8,L
21.147059,28.911765,Y,4,L
7.375,25.15625,Y,13,L
5.34375,27.25,Y,6,L
6.677419,28.032258,W,8,L
9.741935,26.645161,Y,14,L
9.030303,25.606061,Y,2,L
10.617647,27.264706,W,4,L
-1.71875,25.65625,X,16,L
7.285714,26.571429,Z,12,L
12.967742,23.903226,W,14,L
1.323529,26.264706,Y,12,L
2.129032,22.451613,Z,11,L
8.272727,25.090909,X,7,L
9.147059,25.794118,Z,13,L
7.25,27.71875,W,6,L
10.029412,24.088235,X,6,L
6.28125,27.625,Z,5,L
11.242424,26.424242,Z,9,L
7.84375,27.40625,Z,7,L
10.117647,24.852941,X,9,L
3.676471,24.147059,W,11,L
10.516129,23.548387,Z,4,L
12.806452,26.225806,X,12,L
4.333333,24.636364,W,10,L
8.258065,24.290323,Y,5,L
4.878788,25.272727,X,10,L
8.65625,24.0625,X,3,L
9.125,24.40625,Y,11,L
4.090909,25.787879,Y,7,L
5.727273,24.666667,X,13,L
2.09375,24.84375,Y,16,L
11.058824,29.058824,X,4,L
3.612903,27.387097,Z,14,L
10.117647,26.235294,X,5,L
11.9375,25.75,W,2,L
10.647059,23.058824,W,1,L
4.064516,23.709677,X,14,L
3.75,23.285714,Z,16,L
-0.515152,22.787879,W,15,L
15.060606,24.727273,Y,1,L
8.969697,24.212121,Z,2,L
2.275862,23.758621,Y,15,L
4.272727,25.636364,Y,12,L
5.28125,22.0625,W,14,L
17.823529,26.705882,Z,2,L
7.882353,27.411765,Z,5,L
8.8125,23.9375,Z,3,L
3.612903,25.774194,W,15,L
8.935484,24.193548,W,11,L
6.71875,25.53125,Y,12,L
8.375,24.28125,Y,6,L
8.90625,27.1875,Z,11,L
7.09375,22.375,Y,8,L
5.827586,24.206897,Z,16,L
10.1,28.133333,X,10,L
7.30303,22.727273,W,11,L
15.030303,28.606061,X,1,W
5.096774,27.290323,X,13,L
6.064516,24.193548,X,4,L
4.15625,22.75,W,10,L
8.1875,25.4375,Z,14,L
17.121212,28.212121,X,2,L
-0.848485,22.818182,Y,16,L
4.962963,22.037037,Z,13,L
6.060606,27.242424,Y,10,L
7.53125,23.6875,X,7,L
9.090909,27.757576,X,3,L
6.529412,24.176471,Y,2,L
20.941176,25.970588,Y,1,L
1.064516,26.451613,W,16,L
9.6875,24.46875,W,4,L
5.96875,27.125,W,9,L
2.375,22.90625,Y,16,L
6.242424,22.454545,Y,4,L
8.470588,26.5,W,7,L
5.125,24.625,Z,11,L
2.3,22,X,15,L
4.969697,24.848485,W,8,L
8.225806,23.580645,Y,15,L
9.514286,29.114286,Z,4,L
5.419355,24.806452,X,16,L
3.588235,23.852941,Y,14,L
11.060606,22.272727,W,5,L
13.176471,27.794118,Y,3,L
13.424242,27.757576,Z,10,L
9.1875,25.5625,W,3,L
3.633333,22.366667,Z,9,L
4.030303,27.121212,Z,8,L
4.727273,24.484848,W,6,L
5.484848,24.30303,Y,9,L
1.272727,24.30303,X,16,L
8.242424,22.121212,X,8,L
13.466667,27.133333,X,12,L
9.6875,24.65625,X,6,L
3.290323,25.064516,X,9,L
7.545455,23.606061,Y,11,L
0.735294,23.352941,Z,15,L
0.818182,23.69697,X,14,L
3.354839,24.451613,W,13,L
3.969697,25.727273,X,11,L
14.483871,24.354839,X,5,L
