@relation 'TDR.weka-weka.filters.unsupervised.attribute.Remove-R1-4,7-25'

@attribute pt.diff.RS numeric
@attribute fgm.RS numeric
@attribute wperc.RS numeric
@attribute lperc.RS numeric
@attribute region.TS {Y,Z,W,X}
@attribute seed.num.TS numeric
@attribute champ.TS {L,W}

@data
10.433333,23.7,0.833333,0.166667,Y,6,L
15.483871,26.806452,0.774194,0.225806,X,14,L
9.15625,25.9375,0.78125,0.21875,Y,11,L
10.666667,25.366667,0.8,0.2,Y,13,L
11.103448,25.482759,0.758621,0.241379,Z,5,L
11.290323,29.193548,0.83871,0.16129,W,2,L
12.806452,31.516129,0.83871,0.16129,W,1,L
4.516129,24.483871,0.677419,0.322581,W,7,L
9.814815,25.592593,0.814815,0.185185,X,12,L
7.724138,22.62069,0.827586,0.172414,W,14,L
7.533333,23.2,0.733333,0.266667,Z,6,L
8.928571,21.928571,0.785714,0.214286,Z,13,L
2.827586,24.517241,0.586207,0.413793,X,10,L
4.580645,23.193548,0.677419,0.322581,Z,16,L
4.870968,27.290323,0.612903,0.387097,Y,8,L
9.258065,26.516129,0.709677,0.290323,X,8,L
5.9,29.333333,0.666667,0.333333,X,15,L
7.65625,26.375,0.78125,0.21875,Y,4,L
7.233333,26.1,0.666667,0.333333,X,13,L
10.655172,23,0.862069,0.137931,X,9,L
4.466667,23.233333,0.666667,0.333333,W,7,L
15.9,29.066667,0.9,0.1,Z,1,L
5.407407,26.740741,0.62963,0.37037,Y,15,L
13.545455,27.757576,0.909091,0.090909,W,1,L
14.484848,27.636364,0.818182,0.181818,Y,3,W
12.285714,28.321429,0.928571,0.071429,W,8,L
10.566667,25.733333,0.766667,0.233333,Z,11,L
7.133333,23.966667,0.7,0.3,Y,7,L
7.633333,27.3,0.9,0.1,X,3,L
3,23.967742,0.516129,0.483871,Y,16,L
11.870968,25.612903,0.806452,0.193548,Z,4,L
5.275862,25.206897,0.62069,0.37931,X,6,L
8.433333,28.6,0.766667,0.233333,W,13,L
7.636364,23.121212,0.757576,0.242424,W,3,L
13.290323,27.290323,0.774194,0.225806,X,4,L
6.9375,24.5,0.75,0.25,X,12,L
4.848485,25.909091,0.636364,0.363636,Z,8,L
9.533333,27.7,0.733333,0.266667,W,4,L
4.551724,26.275862,0.655172,0.344828,X,7,L
15.030303,28.060606,0.909091,0.090909,X,1,L
5.4375,26.125,0.65625,0.34375,Z,6,L
0.84375,23.3125,0.5625,0.4375,Y,16,L
6.814815,27.814815,0.777778,0.222222,Y,12,L
9.689655,25.931034,0.793103,0.206897,Z,14,L
8.033333,25,0.7,0.3,W,10,L
9.032258,25.83871,0.83871,0.16129,Y,5,L
11.482759,28.206897,0.758621,0.241379,Z,3,L
6.8,22.9,0.7,0.3,Y,10,L
6.172414,26.62069,0.758621,0.241379,W,14,L
11.2,26.266667,0.833333,0.166667,Y,2,L
5.571429,24.428571,0.714286,0.285714,Y,6,L
6.516129,25.935484,0.645161,0.354839,X,16,L
10.137931,26.551724,0.758621,0.241379,Y,13,L
8.925926,24.703704,0.703704,0.296296,W,15,L
9.677419,25.290323,0.774194,0.225806,X,5,L
5.032258,21.290323,0.709677,0.290323,W,11,L
7.133333,25.2,0.733333,0.266667,X,11,L
1.37931,23.137931,0.62069,0.37931,Z,10,L
8.206897,25.793103,0.793103,0.206897,Y,14,L
1.258065,24.677419,0.612903,0.387097,W,16,L
3.852941,26.264706,0.676471,0.323529,W,5,L
7.642857,28.857143,0.75,0.25,Z,2,L
16.030303,26.969697,0.818182,0.181818,W,2,L
8.758621,23.551724,0.724138,0.275862,W,12,L
8.517241,26.206897,0.793103,0.206897,Z,9,L
9.454545,24.393939,0.818182,0.181818,X,2,L
8.6875,24.21875,0.78125,0.21875,W,9,L
7.133333,26.033333,0.733333,0.266667,Z,12,L
11.62069,25.034483,0.862069,0.137931,Y,1,L
12.966667,30.1,0.8,0.2,Z,5,L
5.62069,25.517241,0.655172,0.344828,W,6,L
7.785714,25.642857,0.714286,0.285714,Y,11,L
6.774194,23.774194,0.741935,0.258065,Z,7,L
11.678571,24.857143,0.75,0.25,Z,15,L
6.3,25.033333,0.633333,0.366667,Y,9,L
8.516129,24.419355,0.677419,0.322581,X,14,L
3.78125,24.25,0.71875,0.28125,X,13,L
5.966667,27.5,0.666667,0.333333,Y,8,L
5.676471,25.294118,0.617647,0.382353,W,12,L
8.322581,25.774194,0.709677,0.290323,W,15,L
4.774194,25.516129,0.645161,0.354839,W,7,L
11.354839,21.806452,0.806452,0.193548,Y,5,L
7.71875,28.28125,0.75,0.25,X,8,L
3.575758,23.363636,0.666667,0.333333,X,16,L
6.71875,22.1875,0.6875,0.3125,X,10,L
11.290323,27.709677,0.870968,0.129032,Y,13,L
8.6875,24.84375,0.6875,0.3125,Z,6,L
1.833333,23.566667,0.633333,0.366667,W,16,L
17.764706,28.558824,0.852941,0.147059,Y,1,W
-1.387097,23.645161,0.580645,0.419355,Z,16,L
6.870968,26.16129,0.741935,0.258065,W,11,L
11.59375,24.5,0.8125,0.1875,W,2,L
9.580645,29.354839,0.645161,0.354839,Y,10,L
9.030303,27.69697,0.69697,0.30303,Z,10,L
6.878788,21.939394,0.757576,0.242424,Z,13,L
7.352941,22.676471,0.676471,0.323529,Z,12,L
8.733333,24.766667,0.666667,0.333333,Z,7,L
-1.272727,25.030303,0.606061,0.393939,Y,16,L
17.411765,29.058824,0.882353,0.117647,Z,1,L
6.15625,26.4375,0.65625,0.34375,Z,8,L
6.633333,28.3,0.766667,0.233333,X,12,L
8.387097,24.935484,0.709677,0.290323,X,6,L
7.4375,25.28125,0.71875,0.28125,W,8,L
11.90625,28.65625,0.75,0.25,Y,4,L
17.242424,28.090909,0.909091,0.090909,X,2,L
2.15625,21.84375,0.5625,0.4375,Y,14,L
8.393939,23.090909,0.666667,0.333333,W,9,L
10.419355,28,0.870968,0.129032,X,7,L
5.5625,26.4375,0.75,0.25,W,13,L
2.333333,25.575758,0.666667,0.333333,Z,16,L
18.147059,31.470588,0.823529,0.176471,W,1,L
4.1,27.1,0.666667,0.333333,X,15,L
13.741935,27.129032,0.774194,0.225806,Y,6,L
13.484848,26.272727,0.909091,0.090909,X,1,L
7.96875,24.0625,0.75,0.25,Y,12,L
6.25,24.15625,0.6875,0.3125,W,14,L
10.454545,26.272727,0.787879,0.212121,Y,3,L
6.551724,26.862069,0.724138,0.275862,X,14,L
8.705882,25.882353,0.794118,0.205882,Z,3,L
6.875,24.71875,0.65625,0.34375,Y,9,L
5.9375,21.21875,0.8125,0.1875,Z,4,L
3.166667,25.233333,0.6,0.4,X,11,L
8.7,27.633333,0.8,0.2,Y,15,L
5.21875,27.6875,0.6875,0.3125,X,5,L
10.272727,27.69697,0.727273,0.272727,W,4,L
17.129032,27,0.806452,0.193548,X,3,L
2.939394,24.606061,0.636364,0.363636,W,10,L
11.4,26.733333,0.833333,0.166667,Z,2,L
8.121212,26.606061,0.818182,0.181818,Y,7,L
6.382353,25.529412,0.676471,0.323529,W,5,L
10.030303,25.636364,0.818182,0.181818,Z,11,L
4.266667,26.4,0.633333,0.366667,W,6,L
7.483871,23.225806,0.677419,0.322581,Z,9,L
5.689655,25.517241,0.655172,0.344828,X,4,L
6.903226,26.387097,0.645161,0.354839,Z,5,L
7.40625,24.125,0.78125,0.21875,W,3,L
0.75,23.964286,0.607143,0.392857,Z,15,L
11.25,26.785714,0.857143,0.142857,Y,11,L
12.852941,24.235294,0.852941,0.147059,Y,2,L
2.96875,23.21875,0.71875,0.28125,Z,14,L
11.625,24.96875,0.75,0.25,X,9,L
3.3125,21.15625,0.65625,0.34375,W,15,L
4.78125,24.71875,0.5625,0.4375,Z,10,L
6.606061,26.727273,0.666667,0.333333,W,9,L
3.911765,24.647059,0.705882,0.294118,Y,15,L
6.266667,27.9,0.666667,0.333333,Z,11,L
5.03125,27.1875,0.75,0.25,Z,15,L
5.125,28.84375,0.75,0.25,W,14,L
10.59375,22.71875,0.90625,0.09375,W,7,L
10.941176,25.941176,0.794118,0.205882,Z,8,L
9.6875,29.5,0.71875,0.28125,X,5,L
9.09375,26.34375,0.75,0.25,Z,4,L
-6.970588,20.588235,0.411765,0.588235,W,16,L
7.615385,27.115385,0.807692,0.192308,Y,14,L
9.580645,29.741935,0.741935,0.258065,X,14,L
14.193548,28.645161,0.806452,0.193548,X,10,L
11.233333,24.366667,0.866667,0.133333,Z,5,L
14.8125,28.75,0.84375,0.15625,Z,2,L
7.575758,24.484848,0.69697,0.30303,W,12,L
11.75,25.09375,0.84375,0.15625,X,2,L
0.90625,24.5625,0.5,0.5,Z,14,L
13.25,27,0.78125,0.21875,X,7,L
10.4375,25.34375,0.78125,0.21875,W,8,L
19.515152,29.454545,0.909091,0.090909,X,1,W
9.8,27.9,0.633333,0.366667,X,11,L
7.647059,24.058824,0.823529,0.176471,X,9,L
3.266667,23.733333,0.6,0.4,Y,11,L
10.59375,25.5,0.75,0.25,W,3,L
11.59375,26.5,0.71875,0.28125,Y,6,L
19.058824,28.764706,0.970588,0.029412,Y,1,L
5.774194,25.032258,0.677419,0.322581,Y,7,L
9.30303,26.333333,0.757576,0.242424,Y,5,L
8.03125,26.09375,0.6875,0.3125,Y,8,L
-4.6,20.9,0.5,0.5,Z,16,L
2.5625,24.21875,0.5625,0.4375,W,16,L
15.970588,31.852941,0.941176,0.058824,W,1,L
10.096774,28.225806,0.774194,0.225806,W,5,L
5.030303,24,0.666667,0.333333,W,6,L
7.387097,23.709677,0.741935,0.258065,Y,13,L
4.387097,26.967742,0.580645,0.419355,Y,9,L
8.942857,27.085714,0.742857,0.257143,Y,4,L
5.766667,25.633333,0.7,0.3,X,16,L
7.53125,23.34375,0.75,0.25,Z,6,L
2,23.666667,0.606061,0.393939,Z,13,L
5.75,27.5625,0.6875,0.3125,X,13,L
9.935484,25.612903,0.806452,0.193548,W,10,L
6.060606,25.30303,0.636364,0.363636,W,11,L
12.433333,26.466667,0.8,0.2,Y,10,L
10.060606,24.848485,0.787879,0.212121,Y,3,L
4.030303,25.333333,0.636364,0.363636,Y,12,L
11.53125,29.03125,0.875,0.125,W,2,L
9.939394,26.848485,0.818182,0.181818,Y,2,L
9.181818,25.242424,0.69697,0.30303,Z,9,L
14.393939,26.545455,0.909091,0.090909,Z,1,L
5.354839,26.580645,0.741935,0.258065,X,15,L
7.3125,23.9375,0.78125,0.21875,X,8,L
5.875,24.96875,0.65625,0.34375,X,6,L
2.535714,25.642857,0.607143,0.392857,Y,16,L
6.212121,27.363636,0.787879,0.212121,X,4,L
3.53125,24.84375,0.625,0.375,X,12,L
11.483871,27.322581,0.806452,0.193548,Z,12,L
10,23.25,0.75,0.25,W,4,L
11.424242,26.393939,0.69697,0.30303,Z,7,L
6.290323,23.580645,0.645161,0.354839,W,13,L
13.575758,23.484848,0.878788,0.121212,X,3,L
13,25.454545,0.818182,0.181818,Z,3,L
5.911765,22.588235,0.647059,0.352941,X,13,L
5.896552,25.551724,0.689655,0.310345,Y,16,L
6.032258,23.354839,0.774194,0.225806,W,14,L
3.75,25.65625,0.59375,0.40625,Y,12,L
9.484848,23.787879,0.727273,0.272727,X,6,L
2.966667,24.033333,0.733333,0.266667,W,15,L
4.484848,26.272727,0.666667,0.333333,Y,7,L
8.8,21.766667,0.833333,0.166667,X,9,L
12.451613,27.645161,0.774194,0.225806,Z,8,L
6.6875,27.09375,0.6875,0.3125,Z,7,L
-1.46875,24.75,0.5,0.5,Z,16,L
10.741935,28.741935,0.741935,0.258065,X,7,L
5.125,23.03125,0.6875,0.3125,Y,13,L
13.354839,27.387097,0.870968,0.129032,Z,1,L
8.241379,26.172414,0.689655,0.310345,Z,14,L
3.586207,26.482759,0.551724,0.448276,Z,15,L
6,23.939394,0.787879,0.212121,Y,11,L
12.411765,26.588235,0.823529,0.176471,W,2,L
7.9375,27.625,0.6875,0.3125,W,16,L
3.617647,23.529412,0.735294,0.264706,W,5,L
17.233333,28.533333,0.833333,0.166667,X,4,L
8,25.090909,0.727273,0.272727,X,5,L
11.3125,27.0625,0.78125,0.21875,Y,3,L
12.333333,26.787879,0.848485,0.151515,Y,1,L
9.424242,26.69697,0.787879,0.212121,X,8,L
9.393939,26.484848,0.727273,0.272727,Z,6,L
3,26.242424,0.606061,0.393939,Z,10,L
17.176471,26,0.911765,0.088235,Z,2,L
3.53125,23.1875,0.59375,0.40625,X,10,L
9,25.375,0.8125,0.1875,Y,2,L
4.709677,23.612903,0.677419,0.322581,W,10,L
5,24.588235,0.647059,0.352941,Z,13,L
14.647059,29.411765,0.823529,0.176471,Z,3,L
0.65625,23.71875,0.53125,0.46875,Y,16,L
5.363636,24.545455,0.666667,0.333333,X,15,L
10.133333,27.933333,0.8,0.2,Y,14,L
16.516129,31.354839,0.870968,0.129032,X,1,W
4.151515,22.606061,0.69697,0.30303,Z,12,L
5.0625,23.5625,0.6875,0.3125,Y,8,L
11.375,27.25,0.84375,0.15625,X,2,L
6.909091,27.030303,0.666667,0.333333,W,8,L
13.548387,29.258065,0.870968,0.129032,W,1,L
5.354839,26.129032,0.709677,0.290323,W,13,L
10.235294,24.823529,0.735294,0.264706,Z,5,L
2.241379,26.517241,0.62069,0.37931,X,16,L
5.705882,25.147059,0.705882,0.294118,Y,15,L
6.148148,23.888889,0.740741,0.259259,X,14,L
7.636364,28.909091,0.787879,0.212121,Y,9,L
8.058824,29.323529,0.735294,0.264706,X,3,L
5.575758,25.060606,0.666667,0.333333,X,11,L
6.121212,28.272727,0.636364,0.363636,W,9,L
6.878788,26.212121,0.666667,0.333333,W,7,L
5.375,23.9375,0.71875,0.28125,Z,9,L
12.727273,28.060606,0.757576,0.242424,W,6,L
4.878788,24.909091,0.636364,0.363636,Y,10,L
7.5,24,0.75,0.25,Y,5,L
10.454545,25.818182,0.878788,0.121212,Z,11,L
8.636364,25.636364,0.727273,0.272727,W,11,L
9.545455,25.969697,0.787879,0.212121,W,3,L
5.16129,25.387097,0.741935,0.258065,X,12,L
11.066667,29.333333,0.8,0.2,Y,4,L
9.333333,27.939394,0.757576,0.242424,Z,4,L
10.764706,25.529412,0.676471,0.323529,Y,6,L
5.387097,22.483871,0.612903,0.387097,W,12,L
9.96875,24.34375,0.78125,0.21875,W,4,L
-0.28125,21.59375,0.53125,0.46875,X,16,L
10.16129,27.16129,0.774194,0.225806,X,3,L
10.0625,22.71875,0.875,0.125,Z,5,L
16.939394,28.393939,0.848485,0.151515,Z,7,L
9.575758,27.909091,0.69697,0.30303,X,8,L
9.451613,26.548387,0.677419,0.322581,W,7,L
10.62069,26.758621,0.862069,0.137931,W,12,L
16.264706,26.5,0.852941,0.147059,X,1,W
2.636364,24.484848,0.575758,0.424242,W,16,L
6.181818,25.939394,0.636364,0.363636,Z,10,L
8.322581,24.580645,0.709677,0.290323,Z,9,L
8.121212,26.484848,0.69697,0.30303,Y,3,L
6.424242,26.30303,0.636364,0.363636,Y,10,L
9.645161,27,0.806452,0.193548,Z,8,L
3.727273,27.484848,0.545455,0.454545,Y,13,L
17.970588,28.558824,0.941176,0.058824,Y,1,L
10.25,26.25,0.78125,0.21875,Z,2,L
13.970588,28,0.941176,0.058824,W,1,L
5.09375,25.53125,0.6875,0.3125,Y,16,L
6.75,26.5625,0.625,0.375,X,9,L
8.757576,25.272727,0.666667,0.333333,W,6,L
11.233333,29.133333,0.733333,0.266667,Y,4,L
8.9375,26.90625,0.75,0.25,Y,5,L
8.882353,26.264706,0.617647,0.382353,Z,11,L
11.75,27.375,0.6875,0.3125,W,10,L
7.275862,24.586207,0.689655,0.310345,W,14,L
6.5,26.166667,0.75,0.25,W,15,L
15.0625,26.78125,0.875,0.125,Z,13,L
9.575758,25.424242,0.878788,0.121212,W,3,L
0.5,27.15625,0.65625,0.34375,Y,12,L
3.566667,24.133333,0.733333,0.266667,Z,15,L
9.03125,21.5,0.875,0.125,Y,9,L
7.147059,26.382353,0.676471,0.323529,X,6,L
3.5,26.15625,0.75,0.25,Z,14,L
4.882353,24.5,0.588235,0.411765,Y,14,L
13.029412,26.823529,0.794118,0.205882,Y,2,L
6.21875,25.53125,0.6875,0.3125,Y,7,L
10.382353,25.852941,0.764706,0.235294,X,11,L
6.71875,23.5625,0.75,0.25,Z,3,L
10.1875,24.8125,0.84375,0.15625,X,4,L
7.058824,24.794118,0.764706,0.235294,X,7,L
2.823529,23.323529,0.676471,0.323529,X,15,L
7.571429,27.285714,0.75,0.25,X,14,L
7.451613,25.419355,0.741935,0.258065,Y,11,L
1.607143,22.321429,0.678571,0.321429,Y,15,L
10.181818,27.484848,0.818182,0.181818,X,13,L
12.533333,28.033333,0.833333,0.166667,X,10,L
14.59375,30.0625,0.875,0.125,Z,1,L
8.794118,24.235294,0.852941,0.147059,W,5,L
8.69697,26.757576,0.757576,0.242424,Y,6,L
11.545455,29.666667,0.727273,0.272727,W,8,L
6.483871,23.612903,0.709677,0.290323,X,5,L
8.78125,26.5625,0.75,0.25,Y,8,L
13.393939,27,0.787879,0.212121,X,12,L
11.59375,27.09375,0.8125,0.1875,Z,12,L
7.645161,26.064516,0.741935,0.258065,Z,4,L
6.264706,23.617647,0.735294,0.264706,Z,16,L
9.677419,27.612903,0.774194,0.225806,X,2,L
4.517241,26.206897,0.655172,0.344828,W,9,L
9.848485,27.878788,0.727273,0.272727,W,11,L
9.181818,25.272727,0.818182,0.181818,W,2,L
0.633333,22.633333,0.566667,0.433333,X,16,L
11.290323,23.612903,0.741935,0.258065,W,4,L
7.151515,23.545455,0.757576,0.242424,W,13,L
10.96875,27.59375,0.75,0.25,Z,6,L
3.647059,24.588235,0.647059,0.352941,Z,15,L
-2.875,20.90625,0.46875,0.53125,W,16,L
9.058824,25.411765,0.794118,0.205882,X,5,L
-1.272727,21.969697,0.515152,0.484848,Y,16,L
18.411765,27.235294,0.882353,0.117647,Y,13,L
1.970588,21.5,0.617647,0.382353,Z,16,L
7.333333,24.575758,0.757576,0.242424,X,14,L
7.483871,24.709677,0.709677,0.290323,Y,8,L
13.424242,27.545455,0.878788,0.121212,Y,3,L
