@relation 'TDR.weka-weka.filters.unsupervised.attribute.Remove-R1-2,4,7,10-18,21-23,25,28'

@attribute pts.RS numeric
@attribute pt.diff.RS numeric
@attribute fgm.RS numeric
@attribute fg.per.RS numeric
@attribute fgm2.RS numeric
@attribute dr.RS numeric
@attribute tr.RS numeric
@attribute blk.RS numeric
@attribute wperc.RS numeric
@attribute lperc.RS numeric
@attribute seed.num.TS numeric
@attribute champ.TS {L,W}

@data
67.96875,3.875,23.53125,0.456663,17.15625,25.78125,38,2.84375,0.75,0.25,10,L
70.866667,3.2,25.633333,0.471685,20.533333,23.766667,35.833333,2.366667,0.7,0.3,7,L
79.75,14.78125,27.5625,0.473149,20.375,22.84375,36.25,6.8125,0.84375,0.15625,1,L
70.25,1.892857,24.75,0.480165,18.571429,21.178571,30.321429,1.5,0.571429,0.428571,15,L
77.931034,7.689655,28.344828,0.464089,22.37931,25.517241,37.724138,5.586207,0.827586,0.172414,13,L
76.966667,7.833333,26.933333,0.482286,18.733333,24.933333,35.166667,3.133333,0.666667,0.333333,5,L
72.1,-1.866667,23.066667,0.419045,14.6,22.533333,33.966667,1.6,0.466667,0.533333,16,L
78.0625,10.78125,27.4375,0.471372,20.1875,26.09375,37.46875,4.84375,0.71875,0.28125,3,L
82.344828,16.413793,29.034483,0.520216,22.517241,27.931034,39.482759,3.793103,0.931034,0.068966,2,L
70,7.483871,25.483871,0.457547,20.483871,22.16129,35.451613,2.741935,0.774194,0.225806,13,L
72.533333,9.733333,26.633333,0.464284,19.733333,22.933333,34.966667,3.8,0.8,0.2,5,L
74.857143,6.678571,26.928571,0.464575,21.178571,26.5,38.571429,4.928571,0.714286,0.285714,4,L
73.133333,10.333333,26.666667,0.470939,20.466667,24.033333,35.833333,3.366667,0.866667,0.133333,1,L
65.857143,2.178571,22.75,0.426573,16.607143,24.428571,35.607143,3.321429,0.642857,0.357143,16,L
68.741935,1.741935,24.709677,0.428825,18.677419,24.16129,37.387097,3.322581,0.548387,0.451613,16,L
73.275862,12.37931,24.551724,0.418696,16.586207,26.275862,37.931034,5.206897,0.689655,0.310345,10,L
74.344828,10.896552,24.37931,0.441712,18.62069,22.689655,34.862069,4.172414,0.827586,0.172414,12,L
77.366667,5.6,28.066667,0.443562,22.933333,25.733333,41.5,6.766667,0.633333,0.366667,4,L
73.571429,7.642857,24.75,0.425347,16.035714,25.142857,38.607143,5.107143,0.75,0.25,7,L
71.448276,4.103448,25,0.500351,18.62069,21.37931,30.482759,1.862069,0.62069,0.37931,7,L
77.107143,10.821429,27.357143,0.468593,20.892857,26.107143,40.857143,4.5,0.892857,0.107143,2,L
68.78125,1.875,22.9375,0.420505,15.84375,24,33.375,2.625,0.65625,0.34375,15,L
80.8,11.4,29.533333,0.496476,23.066667,25.3,37.533333,4.266667,0.833333,0.166667,12,L
73.344828,8.137931,24.655172,0.455054,16.310345,23.689655,33.724138,2.344828,0.689655,0.310345,3,L
75.5,9.333333,26.766667,0.45696,21.9,25.466667,38.866667,4.7,0.733333,0.266667,10,L
83.071429,7.607143,29.642857,0.464392,23.142857,24.642857,40,4.214286,0.642857,0.357143,6,L
69.206897,3.965517,23.310345,0.440997,16.241379,25.896552,34.827586,1.965517,0.689655,0.310345,14,L
78.206897,14.310345,28.896552,0.51669,24.068966,24.172414,35.551724,3.586207,0.896552,0.103448,2,L
69.166667,5.366667,23.2,0.471624,17.3,24.266667,33.533333,3.2,0.766667,0.233333,12,L
68.875,12.78125,25.71875,0.484529,21.53125,23.71875,36.625,4.90625,0.875,0.125,3,L
62.5,5.692308,22.346154,0.484322,16.307692,22.192308,30.769231,3.269231,0.730769,0.269231,14,L
71.5,7.178571,24.785714,0.456273,16.857143,21.892857,33.571429,5.035714,0.714286,0.285714,5,L
64.53125,5.53125,22.25,0.412975,16.59375,23.5,35.46875,4.375,0.625,0.375,11,L
71.275862,8.37931,26.310345,0.445524,20.344828,22.206897,35.413793,3.103448,0.862069,0.137931,9,L
72.285714,7.821429,26.107143,0.462771,20.142857,25.321429,37.107143,3.142857,0.678571,0.321429,8,L
70.909091,8.151515,25.181818,0.437953,18.393939,23.636364,36.333333,5.242424,0.69697,0.30303,10,L
77.785714,16.285714,27.178571,0.482204,17.428571,23.25,32.928571,3.571429,0.964286,0.035714,1,L
73.933333,13.233333,26.533333,0.484698,21.333333,25.2,36.3,4.433333,0.966667,0.033333,1,L
72.928571,6.107143,27.678571,0.461134,23.357143,24.714286,38.642857,6.857143,0.75,0.25,5,L
77.133333,10.733333,27.6,0.441225,20.8,25.1,41.4,3.9,0.766667,0.233333,3,L
73.40625,6.96875,27.125,0.465607,23.4375,22.6875,34,3.53125,0.6875,0.3125,8,L
74.551724,7.551724,27.551724,0.442987,21.068966,22.689655,35.034483,3.724138,0.689655,0.310345,9,L
70.517241,8.310345,25.517241,0.457967,18.068966,23.896552,36.275862,4.827586,0.827586,0.172414,14,L
76.269231,6.384615,27.192308,0.4648,18.961538,21.961538,33.615385,2.115385,0.692308,0.307692,14,L
72.428571,-0.214286,24.285714,0.431247,17.25,25.142857,37.5,2.785714,0.571429,0.428571,16,L
64.903226,7.290323,23.322581,0.474926,17.354839,24,34.645161,3.516129,0.741935,0.258065,11,L
75.482759,8.241379,25.655172,0.471475,19.655172,24.068966,34.344828,2.62069,0.758621,0.241379,13,L
70.8,7.233333,26.066667,0.474717,19.5,25.4,37.733333,3.866667,0.766667,0.233333,13,L
72.275862,0.827586,24.758621,0.44771,19.482759,26.517241,38.413793,3.275862,0.586207,0.413793,15,L
73.833333,9.1,25.733333,0.447283,17.933333,24.2,35.633333,3.5,0.7,0.3,6,L
66.4,4.3,23.833333,0.428231,17.433333,24.9,36.533333,2.866667,0.733333,0.266667,15,L
79.2,13.266667,27.433333,0.462711,20.266667,23.666667,38.033333,2.733333,0.866667,0.133333,11,L
83.821429,8.178571,28.5,0.47226,20.857143,23.5,37.535714,3.25,0.678571,0.321429,4,L
81.433333,3.2,28.5,0.464757,22,23,35.4,2.866667,0.633333,0.366667,8,L
68.633333,11.966667,23.733333,0.449034,17.933333,21.7,32.966667,2.8,0.8,0.2,6,L
70.424242,8.060606,24.545455,0.443372,16.939394,23.69697,35.484848,2.242424,0.69697,0.30303,7,L
75.433333,10.6,25.366667,0.481841,17.733333,26.466667,36.7,4.433333,0.766667,0.233333,5,L
69.068966,1.275862,23.655172,0.402243,17.551724,24.310345,37.241379,3.862069,0.551724,0.448276,16,L
79.666667,10.121212,29.121212,0.473071,22.272727,23.272727,37,3.575758,0.818182,0.181818,3,L
71.928571,8.107143,25.535714,0.453687,21.535714,23.464286,37.785714,4.107143,0.857143,0.142857,4,L
63.580645,5.129032,21.258065,0.448491,14.645161,22.419355,31.774194,3,0.709677,0.290323,14,L
78.357143,6.285714,26.428571,0.435507,18.428571,24.107143,38.678571,3.214286,0.75,0.25,7,L
70.444444,2.888889,24.481481,0.445822,19.222222,27.074074,40.592593,2,0.62963,0.37037,15,L
76.419355,12,25.548387,0.441628,18.935484,27.064516,41.451613,6.870968,0.774194,0.225806,7,L
78.62069,11.862069,27.965517,0.46313,22.827586,30.448276,46.137931,9.137931,0.758621,0.241379,2,L
71.515152,6.545455,24.30303,0.454113,15.666667,21.515152,31.393939,3.272727,0.69697,0.30303,10,L
62.40625,0.5625,20.25,0.429697,13.75,17.375,27.53125,2.84375,0.59375,0.40625,16,L
79.766667,13.966667,26.533333,0.451738,17.566667,24.933333,38.433333,6.866667,0.833333,0.166667,1,L
70.37037,2.888889,26.259259,0.473527,20.074074,23.555556,34.481481,3.777778,0.703704,0.296296,15,L
74.16129,3.258065,27.064516,0.450706,20.387097,23.645161,36.096774,4.419355,0.612903,0.387097,16,L
76.866667,14.133333,26.766667,0.487952,19.1,25.833333,37.333333,4.466667,0.766667,0.233333,4,L
77.241379,10.310345,27.724138,0.47878,22.344828,23.655172,36.689655,4.275862,0.758621,0.241379,12,L
74.566667,8.266667,26.7,0.457585,20.8,26.7,39.466667,5.3,0.633333,0.366667,5,L
79.689655,9.896552,27.586207,0.506262,22.551724,26.448276,38.172414,3.448276,0.862069,0.137931,3,L
77.424242,17.30303,28.151515,0.487508,19.454545,23.393939,34.363636,3.424242,0.969697,0.030303,1,L
73.21875,6.1875,25.65625,0.465834,19.25,25,36.09375,5.40625,0.65625,0.34375,10,L
68.37931,4.241379,25.241379,0.442204,21.551724,23.206897,34.965517,3.793103,0.62069,0.37931,9,L
75.448276,10.206897,26.931034,0.47804,20.137931,25.965517,37.758621,3.862069,0.793103,0.206897,3,L
73.733333,11.833333,26.5,0.461994,19.966667,22.9,35.6,4.433333,0.833333,0.166667,2,L
80.548387,17.903226,26.548387,0.465378,16.903226,26.419355,39.129032,3.935484,0.870968,0.129032,4,L
75.482759,4.448276,25.965517,0.461472,19.103448,24.896552,36.37931,4.206897,0.689655,0.310345,6,L
78.071429,14.714286,27.714286,0.495134,20.857143,24.178571,36.035714,2.678571,0.785714,0.214286,5,L
68.451613,5.612903,24.193548,0.458737,18.870968,22.483871,33.870968,4.645161,0.677419,0.322581,8,L
72.4375,6.4375,25.5625,0.445041,19.75,26.46875,40.96875,3.21875,0.6875,0.3125,9,L
69.285714,0.25,23.428571,0.45878,17.607143,25.714286,36,3.107143,0.571429,0.428571,16,L
73.84375,7.46875,25.1875,0.461518,16.71875,21.4375,32.53125,4.34375,0.59375,0.40625,10,L
69.551724,7.034483,24.724138,0.463693,22.034483,27.310345,39.37931,5.172414,0.793103,0.206897,9,L
75.870968,10.935484,25.967742,0.504338,17.677419,24,33.709677,3.451613,0.806452,0.193548,12,L
85.172414,7,27.896552,0.436942,18.793103,24.965517,40.827586,3.310345,0.689655,0.310345,14,L
88.774194,18.516129,30.451613,0.498759,23.064516,26.548387,40.322581,3.83871,0.870968,0.129032,1,W
72.5,5.7,26.4,0.482236,19.166667,24.566667,33.333333,4.333333,0.666667,0.333333,11,L
70.344828,-3.137931,25.068966,0.450531,18.793103,20.655172,32.517241,2.482759,0.37931,0.62069,16,L
71.806452,3.83871,24.354839,0.464244,18.774194,21.903226,32.806452,2.612903,0.677419,0.322581,13,L
75.419355,12.387097,27.516129,0.483786,20.774194,22.451613,35.193548,4.16129,0.774194,0.225806,3,L
78.103448,12.241379,27.724138,0.498828,20.655172,22.827586,34.206897,2.689655,0.793103,0.206897,2,L
70.3125,9.8125,25.125,0.441945,19.125,24.3125,36.3125,4.46875,0.84375,0.15625,12,L
72.413793,8.862069,25.448276,0.501428,19.137931,26.034483,35.793103,3.241379,0.896552,0.103448,8,L
68.464286,7.642857,23.535714,0.439665,17.035714,25.142857,37.5,3.214286,0.714286,0.285714,13,L
72.357143,9.392857,25.464286,0.472556,19.5,23.892857,38.321429,4.178571,0.714286,0.285714,9,L
66.875,6.78125,24.96875,0.450453,19.0625,21.65625,32.96875,2.875,0.78125,0.21875,7,L
61.296296,5,22.444444,0.455189,19.074074,20.333333,31.074074,3.814815,0.703704,0.296296,15,L
69.967742,4.709677,23.419355,0.441033,16.483871,23.709677,35.83871,3.322581,0.741935,0.258065,10,L
70.1,2.066667,25,0.438861,21,23.7,35.966667,2.8,0.6,0.4,8,L
75.484848,10.727273,27.969697,0.488178,23.333333,24.151515,37.969697,4.666667,0.818182,0.181818,4,L
77.344828,8.344828,26.241379,0.459178,18.37931,26.034483,39.482759,4.241379,0.655172,0.344828,8,L
77.533333,7.966667,28.233333,0.472823,23.666667,23.5,34.866667,3.966667,0.666667,0.333333,6,L
77.806452,6.258065,27.483871,0.455394,20.903226,21.258065,33,3.064516,0.677419,0.322581,11,L
68.275862,3.172414,23.413793,0.463282,15.103448,23.137931,35.103448,4.103448,0.724138,0.275862,15,L
74,2.571429,25.785714,0.458001,19.357143,25.25,37.178571,2.571429,0.642857,0.357143,11,L
72.344828,4.137931,25.931034,0.442755,19.37931,21.172414,35.413793,2.896552,0.655172,0.344828,13,L
67.366667,10.433333,23.7,0.514611,19.366667,23.333333,33.966667,2.833333,0.833333,0.166667,6,L
72.967742,15.483871,26.806452,0.536716,21.064516,24.774194,34.290323,2.870968,0.774194,0.225806,14,L
75.65625,9.15625,25.9375,0.463791,19.90625,23.0625,34.15625,2.8125,0.78125,0.21875,11,L
72.6,10.666667,25.366667,0.443499,16.866667,25.866667,37.9,1.9,0.8,0.2,13,L
73.758621,11.103448,25.482759,0.445706,18.37931,22.586207,36.862069,5.689655,0.758621,0.241379,5,L
84.709677,11.290323,29.193548,0.494132,21.645161,25.677419,39.645161,3.645161,0.83871,0.16129,2,L
86.225806,12.806452,31.516129,0.484573,24.064516,22.451613,37.516129,2.612903,0.83871,0.16129,1,L
70.225806,4.516129,24.483871,0.445469,15.548387,20.774194,30.677419,3.741935,0.677419,0.322581,7,L
73.888889,9.814815,25.592593,0.439975,17.851852,23.296296,36.62963,3.518519,0.814815,0.185185,12,L
66.758621,7.724138,22.62069,0.441763,15.896552,23.482759,34.655172,3.758621,0.827586,0.172414,14,L
67.166667,7.533333,23.2,0.438087,15.966667,24.566667,35.066667,1.966667,0.733333,0.266667,6,L
63.5,8.928571,21.928571,0.485177,13.321429,17.785714,24.571429,2.107143,0.785714,0.214286,13,L
69.965517,2.827586,24.517241,0.454431,19,24.482759,37,5.034483,0.586207,0.413793,10,L
68.870968,4.580645,23.193548,0.449287,16.129032,22.967742,33.967742,2.580645,0.677419,0.322581,16,L
72.935484,4.870968,27.290323,0.44444,23.032258,20.903226,34.516129,3.774194,0.612903,0.387097,8,L
74.322581,9.258065,26.516129,0.462035,20.806452,22.83871,35.032258,6.129032,0.709677,0.290323,8,L
81.833333,5.9,29.333333,0.50554,20.766667,23.9,35.733333,3.566667,0.666667,0.333333,15,L
74.53125,7.65625,26.375,0.489316,20.375,22.15625,35.1875,4.28125,0.78125,0.21875,4,L
71.533333,7.233333,26.1,0.448497,20.533333,25.1,37.7,4.833333,0.666667,0.333333,13,L
66.310345,10.655172,23,0.47503,16.965517,22.37931,31.689655,1.689655,0.862069,0.137931,9,L
69.2,4.466667,23.233333,0.450571,17.766667,22.8,32.533333,2.733333,0.666667,0.333333,7,L
81.333333,15.9,29.066667,0.47055,23.766667,28.666667,44.966667,9.333333,0.9,0.1,1,L
75.592593,5.407407,26.740741,0.452603,18.111111,26.259259,38.518519,1.555556,0.62963,0.37037,15,L
82.515152,13.545455,27.757576,0.495879,19.939394,23.363636,32.909091,5.424242,0.909091,0.090909,1,L
79.272727,14.484848,27.636364,0.50717,20.242424,24.636364,35.242424,4.939394,0.818182,0.181818,3,W
78.964286,12.285714,28.321429,0.476283,22.357143,24.357143,38.178571,4.678571,0.928571,0.071429,8,L
69.4,10.566667,25.733333,0.488261,19.8,24.8,34.9,3.533333,0.766667,0.233333,11,L
66.666667,7.133333,23.966667,0.4745,17.066667,21.9,32.6,3.533333,0.7,0.3,7,L
80.1,7.633333,27.3,0.477581,21.6,25,37.6,2.8,0.9,0.1,3,L
66.806452,3,23.967742,0.422788,18.387097,25.451613,39.225806,3.064516,0.516129,0.483871,16,L
69.967742,11.870968,25.612903,0.45725,18.258065,23.548387,36,2.516129,0.806452,0.193548,4,L
71.172414,5.275862,25.206897,0.461705,16.517241,23.931034,33.931034,2.37931,0.62069,0.37931,6,L
80.366667,8.433333,28.6,0.487119,22.166667,23.7,37.033333,4.166667,0.766667,0.233333,13,L
66.393939,7.636364,23.121212,0.43328,17.515152,26.848485,37.848485,4.909091,0.757576,0.242424,3,L
74.354839,13.290323,27.290323,0.471762,21.129032,26.16129,39.322581,5.774194,0.774194,0.225806,4,L
72.0625,6.9375,24.5,0.443607,17.5625,22.375,33.4375,2.3125,0.75,0.25,12,L
70.454545,4.848485,25.909091,0.453974,18.272727,23.212121,35.878788,3.090909,0.636364,0.363636,8,L
74.766667,9.533333,27.7,0.475573,23.366667,26.333333,40.233333,6.266667,0.733333,0.266667,4,L
74.206897,4.551724,26.275862,0.453528,17.758621,23.586207,35.551724,3.068966,0.655172,0.344828,7,L
80.909091,15.030303,28.060606,0.449396,20.454545,26.242424,42.060606,6.757576,0.909091,0.090909,1,L
73.9375,5.4375,26.125,0.478077,20.28125,24.78125,35.84375,2.96875,0.65625,0.34375,6,L
64.84375,0.84375,23.3125,0.445551,16.96875,23.8125,32.65625,3.4375,0.5625,0.4375,16,L
78.148148,6.814815,27.814815,0.494813,20.37037,24.074074,35.148148,2.925926,0.777778,0.222222,12,L
71.103448,9.689655,25.931034,0.45194,18.517241,23.896552,36.862069,4.827586,0.793103,0.206897,14,L
75.7,8.033333,25,0.471771,15.666667,24.2,33.233333,4.866667,0.7,0.3,10,L
72.225806,9.032258,25.83871,0.454192,20.419355,25.677419,38.322581,4.741935,0.83871,0.16129,5,L
80.37931,11.482759,28.206897,0.483971,21.310345,25.965517,40,3.931034,0.758621,0.241379,3,L
65.433333,6.8,22.9,0.454173,16.2,24.7,33.2,3.433333,0.7,0.3,10,L
75.758621,6.172414,26.62069,0.464992,20.034483,22.586207,35.655172,3.275862,0.758621,0.241379,14,L
74.7,11.2,26.266667,0.469737,17.866667,23.933333,34.033333,2.7,0.833333,0.166667,2,L
68.607143,5.571429,24.428571,0.450298,18.392857,21.964286,36.607143,3.428571,0.714286,0.285714,6,L
74.322581,6.516129,25.935484,0.459082,19.387097,23.903226,37.387097,4.129032,0.645161,0.354839,16,L
73.724138,10.137931,26.551724,0.48761,20.103448,25.310345,35.172414,2.103448,0.758621,0.241379,13,L
69,8.925926,24.703704,0.449217,18.111111,21.740741,32.259259,2.703704,0.703704,0.296296,15,L
72.451613,9.677419,25.290323,0.452064,19.032258,26.096774,39.193548,3.83871,0.774194,0.225806,5,L
60.774194,5.032258,21.290323,0.414502,15.612903,20.967742,32.806452,3.193548,0.709677,0.290323,11,L
73.933333,7.133333,25.2,0.464054,18.433333,21.833333,34.966667,3.033333,0.733333,0.266667,11,L
67.827586,1.37931,23.137931,0.411337,17.344828,24.310345,36.862069,2.586207,0.62069,0.37931,10,L
74.103448,8.206897,25.793103,0.456168,17.241379,22.758621,33.931034,1.310345,0.793103,0.206897,14,L
65.774194,1.258065,24.677419,0.439729,20.193548,25.709677,38.806452,3.806452,0.612903,0.387097,16,L
72.852941,3.852941,26.264706,0.444664,18.735294,24.647059,38.323529,6.441176,0.676471,0.323529,5,L
81.321429,7.642857,28.857143,0.468133,19.964286,21.821429,33.357143,3.035714,0.75,0.25,2,L
76.121212,16.030303,26.969697,0.465664,19.545455,26.181818,40.242424,5.121212,0.818182,0.181818,2,L
69.206897,8.758621,23.551724,0.449395,17,21.310345,31.689655,2.965517,0.724138,0.275862,12,L
73.931034,8.517241,26.206897,0.454949,19.103448,20.206897,30.862069,3.551724,0.793103,0.206897,9,L
68.575758,9.454545,24.393939,0.481783,18.121212,22.090909,32.969697,2.757576,0.818182,0.181818,2,L
67.65625,8.6875,24.21875,0.429585,17.8125,24.28125,36.1875,1.6875,0.78125,0.21875,9,L
71.466667,7.133333,26.033333,0.493161,18.666667,23.833333,33.266667,2.9,0.733333,0.266667,12,L
75.413793,11.62069,25.034483,0.428429,15.931034,22.758621,36.241379,5.034483,0.862069,0.137931,1,L
82.4,12.966667,30.1,0.473071,23.533333,23.033333,37.866667,3.5,0.8,0.2,5,L
70.655172,5.62069,25.517241,0.446714,15.482759,19.724138,27.551724,2.689655,0.655172,0.344828,6,L
73.535714,7.785714,25.642857,0.436411,19.071429,23.892857,38.214286,2.928571,0.714286,0.285714,11,L
68.322581,6.774194,23.774194,0.441317,17.032258,25.032258,36.870968,1.83871,0.741935,0.258065,7,L
72.678571,11.678571,24.857143,0.444398,16.892857,23.107143,36.035714,3.178571,0.75,0.25,15,L
